id,gene,gene_id,description
gene2042,hisD,gene:BAA15851,bifunctional histidinal dehydrogenase and histidinol dehydrogenase
gene2043,hisC,gene:BAA15852,histidinol-phosphate aminotransferase
gene2044,hisB,gene:BAA15853,fused histidinol-phosphatase and imidazoleglycerol-phosphate dehydratase
gene2045,hisH,gene:BAA15854,imidazole glycerol phosphate synthase%2C glutamine amidotransferase subunit
gene2046,hisA,gene:BAA15855,N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase
gene2047,hisF,gene:BAA15857,imidazole glycerol phosphate synthase%2C catalytic subunit with HisF
gene2048,hisI,gene:BAA15858,fused phosphoribosyl-AMP cyclohydrolase and phosphoribosyl-ATP pyrophosphatase
gene2049,cld,gene:BAA15859,regulator of length of O-antigen component of lipopolysaccharide chains
gene2050,ugd,gene:BAA15860,UDP-glucose 6-dehydrogenase
gene2051,gnd,gene:BAA15869,gluconate-6-phosphate dehydrogenase%2C decarboxylating
gene2052,wbbL,,
gene2053,insH,gene:BAE76049,IS5 transposase and trans-activator
gene2054,wbbK,gene:BAA15874,lipopolysaccharide biosynthesis protein
gene2055,wbbJ,gene:BAA15875,predicted acyl transferase
gene2056,wbbI,gene:BAA15876,conserved hypothetical protein
gene2057,wbbH,gene:BAA15877,O-antigen polymerase
gene2058,glf,gene:BAA15878,UDP-galactopyranose mutase%2C FAD/NAD(P)-binding
gene2059,rfbX,gene:BAA15879,predicted polisoprenol-linked O-antigen transporter
gene2060,rfbC,gene:BAA15880,dTDP-4-deoxyrhamnose-3%2C5-epimerase
gene2061,rfbA,gene:BAA15881,glucose-1-phosphate thymidylyltransferase
gene2062,rfbD,gene:BAA15882,dTDP-4-dehydrorhamnose reductase subunit%2C NAD(P)-binding%2C of dTDP-L-rhamnose synthase
gene2063,rfbB,gene:BAA15883,dTDP-glucose 4%2C6 dehydratase%2C NAD(P)-binding
gene2064,galF,gene:BAA15896,predicted subunit with GalU
gene2065,wcaM,gene:BAA15897,predicted colanic acid biosynthesis protein
gene2066,wcaL,gene:BAA15898,predicted glycosyl transferase
gene2067,wcaK,gene:BAE76571,predicted pyruvyl transferase
gene2068,wzxC,gene:BAA15899,colanic acid exporter
gene2069,wcaJ,gene:BAA15900,predicted UDP-glucose lipid carrier transferase
gene2070,cpsG,gene:BAA15901,phosphomannomutase
gene2071,cpsB,gene:BAA15905,mannose-1-phosphate guanyltransferase
gene2072,wcaI,gene:BAA15906,predicted glycosyl transferase
gene2073,nudD,gene:BAA15907,GDP-mannose mannosyl hydrolase
gene2074,fcl,gene:BAA15908,bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase and GDP-4-dehydro-6-L-deoxygalactose reductase
gene2075,gmd,gene:BAA15909,GDP-D-mannose dehydratase%2C NAD(P)-binding
gene2076,wcaF,gene:BAA15910,predicted acyl transferase
gene2077,wcaE,gene:BAE76572,predicted glycosyl transferase
gene2078,wcaD,gene:BAE76573,predicted colanic acid polymerase
gene2079,wcaC,gene:BAE76574,predicted glycosyl transferase
gene2080,wcaB,gene:BAA15911,predicted acyl transferase
gene2081,wcaA,gene:BAA15912,predicted glycosyl transferase
gene2082,wzc,gene:BAA15913,protein-tyrosine kinase
gene2083,wzb,gene:BAE76575,protein-tyrosine phosphatase
gene2084,wza,gene:BAE76576,lipoprotein required for capsular polysaccharide translocation through the outer membrane
gene2085,yegH,gene:BAA15916,fused predicted membrane proteins
gene2086,asmA,gene:BAA15917,predicted assembly protein
gene2087,dcd,gene:BAA15918,2'-deoxycytidine 5'-triphosphate deaminase
gene2088,udk,gene:BAA15919,uridine/cytidine kinase
gene2089,yegE,gene:BAA15920,predicted diguanylate cyclase%2C GGDEF domain signalling protein
gene2090,alkA,gene:BAA15926,3-methyl-adenine DNA glycosylase II
gene2091,yegD,gene:BAA15927,predicted chaperone
gene2092,yegI,gene:BAE76577,conserved hypothetical protein
gene2093,yegJ,gene:BAE76578,hypothetical protein
gene2094,yegK,gene:BAE76579,hypothetical protein
gene2095,yegL,gene:BAE76580,conserved hypothetical protein
gene2096,ryeC,,
gene2097,ryeD,,
gene2098,mdtA,gene:BAA15928,multidrug efflux system%2C subunit A
gene2099,mdtB,gene:BAA15929,multidrug efflux system%2C subunit B
gene2100,mdtC,gene:BAA15932,multidrug efflux system%2C subunit C
gene2101,mdtD,gene:BAA15933,multidrug efflux system protein
gene2102,baeS,gene:BAA15934,sensory histidine kinase in two-component regulatory system with BaeR
gene2103,baeR,gene:BAA15935,DNA-binding response regulator in two-component regulatory system with BaeS
gene2104,yegP,gene:BAE76581,hypothetical protein
gene2105,yegQ,gene:BAA15936,predicted peptidase
gene2106,ryeE,,
gene2107,ogrK,gene:BAA15937,DNA-binding transcriptional regulator
gene2108,yegZ,,
gene2109,yegR,gene:BAE76582,hypothetical protein
gene2110,yegS,gene:BAA15939,conserved hypothetical protein
gene2111,gatR,,
gene2112,insE,gene:BAE76083,IS3 element protein
gene2113,insF,gene:BAE76084,IS3 element protein InsF
gene2114,gatD,gene:BAA15954,galactitol-1-phosphate dehydrogenase%2C Zn-dependent and NAD(P)-binding
gene2115,gatC,gene:BAA15955,galactitol-specific enzyme IIC component of PTS
gene2116,gatB,gene:BAA15956,galactitol-specific enzyme IIB component of PTS
gene2117,gatA,gene:BAA15957,galactitol-specific enzyme IIA component of PTS
gene2118,insH,gene:BAE76049,IS5 transposase and trans-activator
gene2119,gatZ,gene:BAA15965,D-tagatose 1%2C6-bisphosphate aldolase 2%2C subunit
gene2120,gatY,gene:BAA15966,D-tagatose 1%2C6-bisphosphate aldolase 2%2C catalytic subunit
gene2121,fbaB,gene:BAE76584,fructose-bisphosphate aldolase class I
gene2122,yegT,gene:BAA15967,predicted nucleoside transporter
gene2123,yegU,gene:BAE76585,predicted hydrolase
gene2124,yegV,gene:BAA15968,predicted kinase
gene2125,yegW,gene:BAA15969,predicted DNA-binding transcriptional regulator
gene2126,yegX,gene:BAA15970,predicted hydrolase
gene2127,thiD,gene:BAA15971,bifunctional hydroxy-methylpyrimidine kinase and hydroxy-phosphomethylpyrimidine kinase
gene2128,thiM,gene:BAA15972,hydoxyethylthiazole kinase
gene2129,yohL,gene:BAE76586,conserved hypothetical protein
gene2130,yohM,gene:BAA15973,membrane protein conferring nickel and cobalt resistance
gene2131,yohN,gene:BAE76587,hypothetical protein
gene2132,yehA,gene:BAA15974,predicted fimbrial-like adhesin protein
gene2133,yehB,gene:BAA15975,predicted outer membrane protein
gene2134,yehC,gene:BAE76588,predicted periplasmic pilin chaperone
gene2135,yehD,gene:BAE76589,predicted fimbrial-like adhesin protein
gene2136,yehE,gene:BAE76590,hypothetical protein
gene2137,mrp,gene:BAE76591,antiporter inner membrane protein
gene2138,metG,gene:BAE76592,methionyl-tRNA synthetase
gene2139,molR,,
gene2140,yehI,gene:BAE76593,conserved hypothetical protein
gene2141,yehK,gene:BAE76594,hypothetical protein
gene2142,yehL,gene:BAE76595,predicted transporter subunit
gene2143,yehM,gene:BAE76596,hypothetical protein
gene2144,yehP,gene:BAE76597,conserved hypothetical protein
gene2145,yehQ,gene:BAE76598,hypothetical protein
gene2146,yehR,gene:BAE76599,conserved hypothetical protein
gene2147,yehS,gene:BAE76600,conserved hypothetical protein
gene2148,yehT,gene:BAE76601,predicted response regulator in two-component system withYehU
gene2149,yehU,gene:BAE76602,predicted sensory kinase in two-component system with YehT
gene2150,mlrA,gene:BAE76603,DNA-binding transcriptional regulator
gene2151,yohO,gene:BAE76604,hypothetical protein
gene2152,yehW,gene:BAE76605,predicted transporter subunit
gene2153,yehX,gene:BAE76606,predicted transporter subunit
gene2154,yehY,gene:BAE76607,predicted transporter subunit
gene2155,yehZ,gene:BAE76608,predicted transporter subunit
gene2156,bglX,gene:BAE76609,beta-D-glucoside glucohydrolase%2C periplasmic
gene2157,dld,gene:BAE76610,D-lactate dehydrogenase%2C FAD-binding%2C NADH independent
gene2158,pbpG,gene:BAE76611,D-alanyl-D-alanine endopeptidase
gene2159,yohC,gene:BAE76612,predicted inner membrane protein
gene2160,yohD,gene:BAE76613,conserved inner membrane protein
gene2161,yohF,gene:BAE76614,predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
gene2162,yohG,gene:BAE76615,predicted outer membrane protein
gene2163,yohH,gene:BAE76616,conserved hypothetical protein
gene2164,dusC,gene:BAE76617,tRNA-dihydrouridine synthase C
gene2165,yohJ,gene:BAE76618,conserved inner membrane protein
gene2166,yohK,gene:BAE76619,predicted inner membrane protein
gene2167,cdd,gene:BAE76620,cytidine/deoxycytidine deaminase
gene2168,sanA,gene:BAE76621,hypothetical protein
gene2169,yeiS,gene:BAE76622,predicted inner membrane protein
gene2170,yeiT,gene:BAE76623,predicted oxidoreductase
gene2171,yeiA,gene:BAE76624,predicted oxidoreductase
gene2172,mglC,gene:BAE76625,methyl-galactoside transporter subunit
gene2173,mglA,gene:BAE76626,fused methyl-galactoside transporter subunitsl and ATP-binding components of ABC superfamily
gene2174,mglB,gene:BAE76627,methyl-galactoside transporter subunit
gene2175,galS,gene:BAE76628,DNA-binding transcriptional repressor
gene2176,yeiB,gene:BAE76629,conserved inner membrane protein
gene2177,folE,gene:BAE76630,GTP cyclohydrolase I
gene2178,yeiG,gene:BAE76631,predicted esterase
gene2179,cirA,gene:BAE76632,ferric iron-catecholate outer membrane transporter
gene2180,lysP,gene:BAE76633,lysine transporter
gene2181,yeiE,gene:BAE76634,predicted DNA-binding transcriptional regulator
gene2182,yeiH,gene:BAE76635,conserved inner membrane protein
gene2183,nfo,gene:BAE76636,endonuclease IV with intrinsic 3'-5' exonuclease activity
gene2184,yeiI,gene:BAE76637,predicted kinase
gene2185,yeiJ,gene:BAE76638,predicted nucleoside transporter
gene2186,rihB,gene:BAE76639,ribonucleoside hydrolase 2
gene2187,yeiL,gene:BAE76640,DNA-binding transcriptional activator
gene2188,yeiM,gene:BAE76641,predicted nucleoside transporter
gene2189,yeiN,gene:BAE76642,conserved hypothetical protein
gene2190,yeiC,gene:BAE76643,predicted kinase
gene2191,fruA,gene:BAA15976,fused fructose-specific PTS enzyme IIB'BC components
gene2192,fruK,gene:BAA15977,fructose-1-phosphate kinase
gene2193,fruB,gene:BAA15978,fused fructose-specific PTS enzyme IIA component and HPr component
gene2194,setB,gene:BAA15979,lactose/glucose efflux system
gene2195,yeiW,gene:BAE76644,conserved hypothetical protein
gene2196,yeiP,gene:BAA15980,predicted elongtion factor
gene2197,yeiQ,gene:BAA15981,predicted dehydrogenase%2C NAD-dependent
gene2198,yeiR,gene:BAA15982,hypothetical protein
gene2199,yeiU,gene:BAE76645,undecaprenyl pyrophosphate phosphatase
gene2200,spr,gene:BAA15983,predicted peptidase%2C outer membrane lipoprotein
gene2201,rtn,gene:BAA15984,conserved hypothetical protein
gene2202,yejA,gene:BAA15985,predicted oligopeptide transporter subunit
gene2203,yejB,gene:BAA15986,predicted oligopeptide transporter subunit
gene2204,yejE,gene:BAA15987,predicted oligopeptide transporter subunit
gene2205,yejF,gene:BAA15988,fused predicted oligopeptide transporter subunits and ATP-binding components of ABC superfamily
gene2206,yejG,gene:BAE76646,hypothetical protein
gene2207,bcr,gene:BAE76647,bicyclomycin/multidrug efflux system
gene2208,rsuA,gene:BAE76648,16S rRNA pseudouridylate 516 synthase
gene2209,yejH,gene:BAE76649,predicted ATP-dependet helicase
gene2210,rplY,gene:BAE76650,50S ribosomal subunit protein L25
gene2211,yejK,gene:BAE76651,nucleotide associated protein
gene2212,yejL,gene:BAE76652,conserved hypothetical protein
gene2213,yejM,gene:BAE76653,predicted hydrolase%2C inner membrane
gene2214,proL,,
gene2215,yejO,gene:BAE76654,predicted autotransporter outer membrane protein
gene2216,insH,gene:BAE76049,IS5 transposase and trans-activator
gene2217,narP,gene:BAE76656,DNA-binding response regulator in two-component regulatory system with NarQ or NarX
gene2218,ccmH,gene:BAE76657,heme lyase%2C CcmH subunit
gene2219,ccmG,gene:BAE76658,periplasmic thioredoxin of cytochrome c-type biogenesis
gene2220,ccmF,gene:BAE76659,heme lyase%2C CcmF subunit
gene2221,ccmE,gene:BAE76660,periplasmic heme chaperone
gene2222,ccmD,gene:BAE76661,cytochrome c biogenesis protein
gene2223,ccmC,gene:BAE76662,heme exporter subunit
gene2224,ccmB,gene:BAE76663,heme exporter subunit
gene2225,ccmA,gene:BAE76664,heme exporter subunit
gene2226,napC,gene:BAE76665,nitrate reductase%2C cytochrome c-type%2Cperiplasmic
gene2227,napB,gene:BAE76666,nitrate reductase%2C small%2C cytochrome C550 subunit%2C periplasmic
gene2228,napH,gene:BAE76667,ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)
gene2229,napG,gene:BAE76668,ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB)
gene2230,napA,gene:BAA15989,nitrate reductase%2C periplasmic%2C large subunit
gene2231,napD,gene:BAA15990,assembly protein for periplasmic nitrate reductase
gene2232,napF,gene:BAA15991,ferredoxin-type protein%2C predicted role in electron transfer to periplasmic nitrate reductase (NapA)
gene2233,eco,gene:BAA15992,ecotin%2C a serine protease inhibitor
gene2234,mqo,gene:BAA15993,malate dehydrogenase%2C FAD/NAD(P)-binding domain
gene2235,yojI,gene:BAA15994,fused predicted multidrug transport subunits and membrane component and ATP-binding component of ABC superfamily
gene2236,alkB,gene:BAA15995,oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions
gene2237,ada,gene:BAA15996,fused DNA-binding transcriptional dual regulator and O6-methylguanine-DNA methyltransferase
gene2238,yojL,gene:BAA15997,predicted thiamine biosynthesis lipoprotein
gene2239,ompC,gene:BAA15998,outer membrane porin protein C
gene2240,micF,,
gene2241,rcsD,gene:BAA15999,phosphotransfer intermediate protein in two-component regulatory system with RcsBC
gene2242,rcsB,gene:BAA16000,DNA-binding response regulator in two-component regulatory system with RcsC and YojN
gene2243,rcsC,gene:BAA16001,hybrid sensory kinase in two-component regulatory system with RcsB and YojN
gene2244,insD,gene:BAE76142,IS2 insertion element transposase InsAB'
gene2245,insC,gene:BAE76141,IS2 insertion element repressor InsA
gene2246,atoS,gene:BAA16015,sensory histidine kinase in two-component regulatory system with AtoC
gene2247,atoC,gene:BAA16016,fused response regulator of ato opeon%2C in two-component system with AtoS
gene2248,atoD,gene:BAA16017,acetyl-CoA:acetoacetyl-CoA transferase%2C alpha subunit
gene2249,atoA,gene:BAA16018,acetyl-CoA:acetoacetyl-CoA transferase%2C beta subunit
gene2250,atoE,gene:BAA16019,short chain fatty acid transporter
gene2251,atoB,gene:BAA16020,acetyl-CoA acetyltransferase
gene2252,yfaP,gene:BAE76669,conserved hypothetical protein
gene2253,yfaQ,gene:BAE76670,hypothetical protein
gene2254,yfaS,,
gene2255,yfaT,gene:BAE76671,hypothetical protein
gene2256,yfaA,gene:BAA16047,hypothetical protein
gene2257,gyrA,gene:BAA16048,DNA gyrase (type II topoisomerase)%2C subunit A
gene2258,ubiG,gene:BAA16049,bifunctional 3-demethylubiquinone-9 3-methyltransferase and 2-octaprenyl-6-hydroxy phenol methylase
gene2259,yfaL,gene:BAA16050,adhesin
gene2260,nrdA,gene:BAA16053,ribonucleoside diphosphate reductase 1%2C alpha subunit
gene2261,nrdB,gene:BAA16054,ribonucleoside diphosphate reductase 1%2C beta subunit%2C ferritin-like
gene2262,yfaE,gene:BAA16055,predicted 2Fe-2S cluster-containing protein
gene2263,inaA,gene:BAA16056,conserved hypothetical protein
gene2264,yfaH,gene:BAA16057,conserved hypothetical protein
gene2265,glpQ,gene:BAA16058,periplasmic glycerophosphodiester phosphodiesterase
gene2266,glpT,gene:BAA16059,sn-glycerol-3-phosphate transporter
gene2267,glpA,gene:BAA16060,sn-glycerol-3-phosphate dehydrogenase (anaerobic)%2C large subunit%2C FAD/NAD(P)-binding
gene2268,glpB,gene:BAA16061,sn-glycerol-3-phosphate dehydrogenase (anaerobic)%2C membrane anchor subunit
gene2269,glpC,gene:BAA16062,sn-glycerol-3-phosphate dehydrogenase (anaerobic)%2C small subunit
gene2270,yfaD,gene:BAA16063,conserved hypothetical protein
gene2271,ypaA,,
gene2272,yfaU,gene:BAA16064,predicted 2%2C4-dihydroxyhept-2-ene-1%2C7-dioic acid aldolase
gene2273,yfaV,gene:BAA16070,predicted transporter
gene2274,yfaW,gene:BAA16071,predicted enolase
gene2275,yfaX,gene:BAA16072,predicted DNA-binding transcriptional regulator
gene2276,yfaY,gene:BAA16073,conserved hypothetical protein
gene2277,yfaZ,gene:BAE76672,predicted outer membrane porin protein
gene2278,yfaO,gene:BAA16074,predicted NUDIX hydrolase
gene2279,ais,gene:BAA16075,conserved hypothetical protein
gene2280,yfbE,gene:BAA16076,uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase%2C PLP-dependent
gene2281,yfbF,gene:BAA16077,undecaprenyl phosphate-L-Ara4FN transferase
gene2282,yfbG,gene:BAA16078,fused UDP-L-Ara4N formyltransferase and UDP-GlcA C-4'-decarboxylase
gene2283,yfbH,gene:BAE76673,conserved hypothetical protein
gene2284,arnT,gene:BAE76674,4-amino-4-deoxy-L-arabinose transferase
gene2285,yfbW,gene:BAE76675,conserved hypothetical protein
gene2286,yfbJ,gene:BAE76676,predicted inner membrane protein
gene2287,pmrD,gene:BAA16079,polymyxin resistance protein B
gene2288,menE,gene:BAA16084,o-succinylbenzoate-CoA ligase
gene2289,menC,gene:BAA16085,o-succinylbenzoyl-CoA synthase
gene2290,menB,gene:BAA16086,dihydroxynaphthoic acid synthetase
gene2291,yfbB,gene:BAA16087,predicted peptidase
gene2292,menD,gene:BAA16089,bifunctional 2-oxoglutarate decarboxylase and SHCHC synthase
gene2293,menF,gene:BAA16092,isochorismate synthase 2
gene2294,elaB,gene:BAA16093,conserved hypothetical protein
gene2295,elaA,gene:BAA16094,predicted acyltransferase with acyl-CoA N-acyltransferase domain
gene2296,elaC,gene:BAA16095,binuclear zinc phosphodiesterase
gene2297,elaD,gene:BAE76677,hypothetical protein
gene2298,yfbK,gene:BAE76678,conserved hypothetical protein
gene2299,yfbL,gene:BAE76679,predicted peptidase
gene2300,yfbM,gene:BAE76680,hypothetical protein
gene2301,yfbN,gene:BAE76681,hypothetical protein
gene2302,yfbO,gene:BAE76682,hypothetical protein
gene2303,yfbP,gene:BAE76683,hypothetical protein
gene2304,nuoN,gene:BAA16103,NADH:ubiquinone oxidoreductase%2C membrane subunit N
gene2305,nuoM,gene:BAA16105,NADH:ubiquinone oxidoreductase%2C membrane subunit M
gene2306,nuoL,gene:BAA16106,NADH:ubiquinone oxidoreductase%2C membrane subunit L
gene2307,nuoK,gene:BAA16107,NADH:ubiquinone oxidoreductase%2C membrane subunit K
gene2308,nuoJ,gene:BAA16108,NADH:ubiquinone oxidoreductase%2C membrane subunit J
gene2309,nuoI,gene:BAA16109,NADH:ubiquinone oxidoreductase%2C chain I
gene2310,nuoH,gene:BAA16110,NADH:ubiquinone oxidoreductase%2C membrane subunit H
gene2311,nuoG,gene:BAA16111,NADH:ubiquinone oxidoreductase%2C chain G
gene2312,nuoF,gene:BAA16113,NADH:ubiquinone oxidoreductase%2C chain F
gene2313,nuoE,gene:BAA16114,NADH:ubiquinone oxidoreductase%2C chain E
gene2314,nuoC,gene:BAA16115,NADH:ubiquinone oxidoreductase%2C chain C%2CD
gene2315,nuoB,gene:BAA16121,NADH:ubiquinone oxidoreductase%2C chain B
gene2316,nuoA,gene:BAA16123,NADH:ubiquinone oxidoreductase%2C membrane subunit A
gene2317,lrhA,gene:BAA16124,DNA-binding transcriptional repressor
gene2318,insB,gene:BAE76033,IS1 transposase InsAB'
gene2319,insA,gene:BAE76034,IS1 repressor protein InsA
gene2320,yfbQ,gene:BAA16127,predicted aminotransferase
gene2321,yfbR,gene:BAE76684,deoxyribonucleoside 5'-monophosphatase
gene2322,yfbS,gene:BAA16128,predicted transporter
gene2323,yfbT,gene:BAA16129,predicted hydrolase or phosphatase
gene2324,yfbU,gene:BAE76685,conserved hypothetical protein
gene2325,yfbV,gene:BAA16130,conserved inner membrane protein
gene2326,ackA,gene:BAA16135,acetate kinase A and propionate kinase 2
gene2327,pta,gene:BAA16136,phosphate acetyltransferase
gene2328,yfcC,gene:BAA16137,predicted inner membrane protein
gene2329,yfcD,gene:BAE76686,predicted NUDIX hydrolase
gene2330,yfcE,gene:BAE76687,predicted phosphatase
gene2331,yfcF,gene:BAA16138,hypothetical protein
gene2332,yfcG,gene:BAA16139,predicted glutathione S-transferase
gene2333,folX,gene:BAA16140,D-erythro-7%2C8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase
gene2334,yfcH,gene:BAA16141,conserved hypothetical protein with NAD(P)-binding Rossmann-fold domain
gene2335,yfcI,gene:BAA16142,conserved hypothetical protein
gene2336,hisP,gene:BAA16143,histidine/lysine/arginine/ornithine transporter subunit
gene2337,hisM,gene:BAA16153,histidine/lysine/arginine/ornithine transporter subunit
gene2338,hisQ,gene:BAA16154,histidine/lysine/arginine/ornithine transporter subunit
gene2339,hisJ,gene:BAA16155,histidine/lysine/arginine/ornithine transporter subunit
gene2340,argT,gene:BAA16156,lysine/arginine/ornithine transporter subunit
gene2341,ubiX,gene:BAA16157,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
gene2342,purF,gene:BAA16158,amidophosphoribosyltransferase
gene2343,cvpA,gene:BAA16159,membrane protein required for colicin V production
gene2344,dedD,gene:BAA16162,conserved hypothetical protein
gene2345,folC,gene:BAA16164,bifunctional folylpolyglutamate synthase and dihydrofolate synthase
gene2346,accD,gene:BAA16173,acetylCoA carboxylase%2C beta (carboxyltranferase) subunit
gene2347,dedA,gene:BAA16174,conserved inner membrane protein
gene2348,truA,gene:BAA16175,pseudouridylate synthase I
gene2349,usg,gene:BAA16176,predicted semialdehyde dehydrogenase
gene2350,pdxB,gene:BAA16177,erythronate-4-phosphate dehydrogenase
gene2351,flk,gene:BAA16178,predicted flagella assembly protein
gene2352,yfcJ,gene:BAA16179,predicted transporter
gene2353,fabB,gene:BAA16180,3-oxoacyl-[acyl-carrier-protein] synthase I
gene2354,trmC,gene:BAA16181,fused 5-methylaminomethyl-2-thiouridine forming enzyme methyltransferase and FAD-dependent demodification enzyme
gene2355,yfcL,gene:BAE76688,hypothetical protein
gene2356,yfcM,gene:BAA16182,conserved hypothetical protein
gene2357,yfcA,gene:BAA16183,conserved inner membrane protein
gene2358,mepA,gene:BAA16184,murein DD-endopeptidase
gene2359,aroC,gene:BAA16185,chorismate synthase
gene2360,prmB,gene:BAA16188,N5-glutamine methyltransferase
gene2361,yfcN,gene:BAA16189,conserved hypothetical protein
gene2362,yfcO,gene:BAE76689,hypothetical protein
gene2363,yfcP,gene:BAE76690,predicted fimbrial-like adhesin protein
gene2364,yfcQ,gene:BAE76691,predicted fimbrial-like adhesin protein
gene2365,yfcR,gene:BAE76692,predicted fimbrial-like adhesin protein
gene2366,yfcS,gene:BAA16190,predicted periplasmic pilus chaperone
gene2367,yfcT,gene:BAA16191,predicted outer membrane export usher protein
gene2368,yfcU,gene:BAA16192,predicted export usher protein
gene2369,yfcV,gene:BAA16193,predicted fimbrial-like adhesin protein
gene2370,sixA,gene:BAA16194,phosphohistidine phosphatase
gene2371,yfcX,gene:BAA16195,fused enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C dodecenoyl-CoA D-isomerase%2C and 3-hydroxyacyl-CoA dehydrogenase%2C subunit of anaerobic fatty acid oxidation complex
gene2372,yfcY,gene:BAA16197,beta-ketoacyl-CoA thiolase%2C anaerobic%2C subunit
gene2373,yfcZ,gene:BAA16198,conserved hypothetical protein
gene2374,fadL,gene:BAA16205,long-chain fatty acid outer membrane transporter
gene2375,yfdF,gene:BAE76693,hypothetical protein
gene2376,vacJ,gene:BAA16206,predicted lipoprotein
gene2377,yfdC,gene:BAA16207,predicted inner membrane protein
gene2378,argW,,
gene2379,intS,gene:BAA16208,predicted prophage CPS-53 integrase
gene2380,yfdG,gene:BAA16209,bactoprenol-linked glucose translocase (flippase)
gene2381,yfdH,gene:BAA16210,bactoprenol glucosyl transferase
gene2382,yfdI,gene:BAE76694,predicted inner membrane protein
gene2383,tfaS,,
gene2384,yfdK,gene:BAA16214,conserved hypothetical protein
gene2385,yfdL,gene:BAE76695,conserved hypothetical protein
gene2386,yfdM,gene:BAE76696,predicted methyltransferase
gene2387,yfdN,gene:BAE76697,hypothetical protein
gene2388,yfdO,gene:BAA16223,predicted defective phage replication protein O
gene2389,yfdP,gene:BAE76698,hypothetical protein
gene2390,yfdQ,gene:BAE76699,hypothetical protein
gene2391,yfdR,gene:BAE76700,conserved hypothetical protein
gene2392,yfdS,gene:BAE76701,hypothetical protein
gene2393,yfdT,gene:BAE76702,hypothetical protein
gene2394,ypdJ,gene:BAE76703,hypothetical protein
gene2395,torI,gene:BAE76704,response regulator inhibitor for tor operon
gene2396,dsdC,gene:BAA16224,DNA-binding transcriptional dual regulator
gene2397,dsdX,gene:BAA16225,predicted transporter
gene2398,dsdA,gene:BAA16229,D-serine ammonia-lyase
gene2399,emrY,gene:BAA16230,predicted multidrug efflux system
gene2400,emrK,gene:BAA16239,EmrKY-TolC multidrug resistance efflux pump%2C membrane fusion protein component
gene2401,evgA,gene:BAA16240,DNA-binding response regulator in two-component regulatory system with EvgS
gene2402,evgS,gene:BAA16241,hybrid sensory histidine kinase in two-component regulatory system with EvgA
gene2403,yfdE,gene:BAA16242,predicted CoA-transferase%2C NAD(P)-binding
gene2404,yfdV,gene:BAA16243,predicted transporter
gene2405,oxc,gene:BAA16245,predicted oxalyl-CoA decarboxylase
gene2406,frc,gene:BAA16247,formyl-CoA transferase%2C NAD(P)-binding
gene2407,yfdX,gene:BAE76705,hypothetical protein
gene2408,ypdI,gene:BAE76706,predicted lipoprotein involved in colanic acid biosynthesis
gene2409,yfdY,gene:BAE76707,predicted inner membrane protein
gene2410,ddg,gene:BAA16248,palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase
gene2411,yfdZ,gene:BAA16249,prediected aminotransferase%2C PLP-dependent
gene2412,ypdA,gene:BAA16250,predicted sensory kinase in two-component system with YpdB
gene2413,ypdB,gene:BAA16251,predicted response regulator in two-component system withYpdA
gene2414,ypdC,gene:BAA16252,predicted DNA-binding protein
gene2415,ypdD,gene:BAA16253,fused predicted PTS enzymes Hpr component%2C enzyme I component%2C and enzyme IIA component
gene2416,ypdE,gene:BAA16254,predicted peptidase
gene2417,ypdF,gene:BAA16255,predicted peptidase
gene2418,ypdG,gene:BAA16256,predicted enzyme IIC component of PTS
gene2419,ypdH,gene:BAA16257,predicted enzyme IIB component of PTS
gene2420,glk,gene:BAA16258,glucokinase
gene2421,yfeO,gene:BAE76708,predicted ion channel protein
gene2422,ypeC,gene:BAE76709,conserved hypothetical protein
gene2423,mntH,gene:BAA16262,manganese/divalent cation transporter
gene2424,nupC,gene:BAA16263,nucleoside (except guanosine) transporter
gene2425,insL,gene:BAE76030,IS186/IS421 transposase
gene2426,yfeA,gene:BAA16267,predicted diguanylate cyclase
gene2427,alaX,,
gene2428,alaW,,
gene2429,yfeC,gene:BAA16269,predicted DNA-binding transcriptional regulator
gene2430,yfeD,gene:BAA16271,predicted DNA-binding transcriptional regulator
gene2431,gltX,gene:BAA16272,glutamyl-tRNA synthetase
gene2432,valU,,
gene2433,valX,,
gene2434,valY,,
gene2435,lysV,,
gene2436,xapR,gene:BAA16273,DNA-binding transcriptional activator
gene2437,xapB,gene:BAA16274,xanthosine transporter
gene2438,xapA,gene:BAA16275,purine nucleoside phosphorylase II
gene2439,yfeN,gene:BAA16279,conserved outer membrane protein
